ssim,psnr,mae,mse,nmse,hist_kl_div,hist_corr,contrast_original,contrast_harmonized,contrast_change,contrast_ratio,snr_original,snr_harmonized,snr_change,cnr_original,cnr_harmonized,cnr_preservation,sharpness_original,sharpness_harmonized,sharpness_change,site,epoch,ga
,6.22291696567974,0.45976303508224936,0.2386208033210924,5.377852661936618,20.527620632515376,-0.002926641619707615,0.21064427152495166,0.014499641,0.1961446305013754,0.06883472420236919,0.42578919546289457,36.64014472079843,36.214355525335534,6.392058212356076,1.2421058596277343,0.1943201730052298,0.3886423407884503,0.06340266,0.32523968059739117,VGH_Site4_GE,200,25.0
,6.215978072398906,0.45993168151601865,0.23900236187235235,5.857011763061528,20.40897709981373,-0.0025232645067668675,0.20200540739325046,0.0144827245,0.1875226829129195,0.07169473307805878,0.422180033611446,36.6790612260638,36.256881192452354,6.287694204579111,1.2312369073046574,0.19581691877601504,0.3876854996759416,0.06334533,0.32434017170257584,VGH_Site4_GE,200,25.0
,5.916612100506054,0.48923793649071645,0.25605825997547094,10.260502050114926,21.46470963363005,-0.003945576936489118,0.15797377714118574,0.01441591,0.14355786760500286,0.09125507337048877,0.3144425913741056,36.81783250181997,36.50338991044587,5.184283076022851,1.1359804601020682,0.21912006756821248,0.2577394323185268,0.059914455,0.1978249775007549,VGH_Site4_GE,200,25.0
,5.960689457737823,0.4842512912297897,0.2534726201871465,8.718843831234553,21.251352937661547,-0.0035180853507305963,0.1705045618428132,0.014438509,0.1560660528330347,0.08468106663491255,0.33246754738383494,36.76659486152878,36.434127314144945,5.539750426289885,1.15504136214083,0.20850061305548473,0.29376735852410835,0.06096976,0.23279759974529785,VGH_Site4_GE,200,25.0
,5.997068439699884,0.4808966247535268,0.2513582569207209,8.419490896900912,21.139445992261855,-0.003704708176385858,0.1727840260952704,0.014448617,0.1583354094415896,0.08362240505664575,0.3459811836097402,36.7441582411572,36.398177057547464,5.207934169104268,1.1661101865371797,0.22391031576703668,0.3315510682797551,0.06202931,0.2695217587089658,VGH_Site4_GE,200,25.0
,6.013124690423064,0.47916510957287556,0.2504306789611438,9.518407691115994,21.041071209435845,-0.0033726522117886602,0.1622039894873734,0.014415886,0.1477881032342549,0.08887503574929238,0.35187411916287703,36.824780288374555,36.472906169211676,5.362767485882401,1.158867328578172,0.2160950161400741,0.3057030118773543,0.061139636,0.24456337613564366,VGH_Site4_GE,200,25.0
,7.194844882878484,0.38310125887464885,0.19077238610172834,2.6013267898543395,18.035218480652542,0.0034728840396410173,0.270807239054858,0.014581316,0.2562259229041331,0.053843891556134525,0.6942590325017801,36.52203645943243,35.827777426930645,5.583779349310776,1.4296636209214708,0.2560387022702736,0.7152401408307932,0.07080479,0.6444353511684321,VGH_Site4_GE,200,25.0
,7.3854524379999775,0.37067850283310133,0.18258065308429117,2.2780581003738214,18.03641118473895,0.0016050913512724429,0.2831033137601591,0.014597028,0.2685062861976005,0.05156077777075141,0.7439838675135246,36.50341243217864,35.759428564665114,5.77891344000233,1.4260545521197396,0.2467686295109965,0.8215773897890758,0.07412653,0.7474508630757045,VGH_Site4_GE,200,25.0
,7.612938624241928,0.3513037777615647,0.1732631227822356,2.549098470290902,16.569714471437592,0.01542865062982144,0.26071122524835894,0.014536716,0.2461745092044098,0.05575791940880933,0.7925784859259621,36.65069989685908,35.858121410933116,5.6588246425377156,1.3597766898943808,0.24029313035606878,0.7934484452772755,0.07284776,0.7206006840634961,VGH_Site4_GE,200,25.0
,7.532748309240254,0.35898917632052313,0.1764920587368643,2.5073648413949097,16.896229696384083,0.01299638176426288,0.26531010272780986,0.014548813,0.25076128973493905,0.05483700882445028,0.7737340083392643,36.62016438793953,35.84643037960027,4.839518331313327,1.3756917388082859,0.28426211903454773,0.8078194828482569,0.07353459,0.73428488986215,VGH_Site4_GE,200,25.0
,9.162323962362217,0.2706544482372529,0.12127397250908481,1.6806438737319005,14.773405797339393,0.02626043661350478,0.268624687589375,0.013877823,0.25474686457183743,0.05166249843025047,1.1632465383759165,38.49518972674935,37.33194318837344,3.9462850762356148,1.2280472807716196,0.3111907158088929,1.1604102438679513,0.077848576,1.0825616678586778,VGH_Site4_GE,200,25.0
,9.380754289924589,0.25859640066223766,0.11532529415249751,1.6060000372548298,14.108661621292187,0.028863066939068954,0.267972038346879,0.013711275,0.2542607637453599,0.0511668089493066,1.2173362517930268,38.97689437676663,37.7595581249736,3.4626200854714067,1.2043910096044932,0.34782649450329767,1.165755211475568,0.07733004,1.0884251735240986,VGH_Site4_GE,200,25.0
,9.453614685399561,0.25695082990222107,0.11340665254955024,1.749431909158186,14.479485072390506,0.01876367635686987,0.25460721732602926,0.013708666,0.24089855135904165,0.05384240703204159,1.2352315857259821,38.97146747425293,37.73623588852695,3.3499818214307218,1.1860836315307473,0.35405673559256007,1.1367343295147536,0.07714152,1.0595928061535476,VGH_Site4_GE,200,25.0
,9.378587162374835,0.2573556431752469,0.11538285578384895,1.6996661844955152,13.83779575761556,0.02848792473315088,0.26054862936535506,0.0138122225,0.24673640684732823,0.053012069269180104,1.215079182710875,38.681093213283134,37.46601403057226,3.54778218747524,1.1780946826613041,0.33206510915458365,1.0931025955189064,0.07677874,1.0163238558281258,VGH_Site4_GE,200,25.0
,5.9693226991741,0.4833782922429325,0.2529692482050399,9.535698285155616,21.27394654527543,-0.003210744854570691,0.1628761640409964,0.01442197,0.1484541943888205,0.08854560672910854,0.3350655487401301,36.806697063615474,36.47163151487534,6.202595552228332,1.1493822895840178,0.18530666364632245,0.2954439483470107,0.060714003,0.2347299456483508,VGH_Site4_GE,200,25.0
